datetime,TOWNNAME,COUNTYNAME,total_flood_loss
2022-01-01,中埔鄉,嘉義縣,0.0
2022-01-01,二崙鄉,雲林縣,0.0
2022-01-01,二林鎮,彰化縣,0.0
2022-01-01,二水鄉,彰化縣,0.0
2022-01-01,五結鄉,宜蘭縣,0.0
2022-01-01,伸港鄉,彰化縣,0.0
2022-01-01,佳冬鄉,屏東縣,0.0
2022-01-01,元長鄉,雲林縣,0.0
2022-01-01,光復鄉,花蓮縣,0.0
2022-01-01,六腳鄉,嘉義縣,0.0
2022-01-01,北港鎮,雲林縣,0.0
2022-01-01,北門區,臺南市,0.0
2022-01-01,卓溪鄉,花蓮縣,0.0
2022-01-01,南州鄉,屏東縣,0.0
2022-01-01,南投市,南投縣,0.0
2022-01-01,口湖鄉,雲林縣,0.0
2022-01-01,員林市,彰化縣,0.0
2022-01-01,四湖鄉,雲林縣,0.0
2022-01-01,土庫鎮,雲林縣,0.0
2022-01-01,埔里鎮,南投縣,0.0
2022-01-01,埔鹽鄉,彰化縣,0.0
2022-01-01,壽豐鄉,花蓮縣,0.0
2022-01-01,大內區,臺南市,0.0
2022-01-01,大城鄉,彰化縣,0.0
2022-01-01,大埤鄉,雲林縣,0.0
2022-01-01,太保市,嘉義縣,0.0
2022-01-01,富里鄉,花蓮縣,0.0
2022-01-01,左鎮區,臺南市,0.0
2022-01-01,布袋鎮,嘉義縣,0.0
2022-01-01,後壁區,臺南市,0.0
2022-01-01,恆春鎮,屏東縣,0.0
2022-01-01,斗南鎮,雲林縣,0.0
2022-01-01,新城鄉,花蓮縣,0.0
2022-01-01,新埔鎮,新竹縣,0.0
2022-01-01,新港鄉,嘉義縣,0.0
2022-01-01,旗山區,高雄市,0.0
2022-01-01,朴子市,嘉義縣,0.0
2022-01-01,東區,新竹市,0.0
2022-01-01,東港鎮,屏東縣,0.0
2022-01-01,東石鄉,嘉義縣,0.0
2022-01-01,枋寮鄉,屏東縣,0.0
2022-01-01,柳營區,臺南市,0.0
2022-01-01,梅山鄉,嘉義縣,0.0
2022-01-01,民雄鄉,嘉義縣,0.0
2022-01-01,水上鄉,嘉義縣,0.0
2022-01-01,水林鄉,雲林縣,0.0
2022-01-01,溪口鄉,嘉義縣,0.0
2022-01-01,溪湖鎮,彰化縣,0.0
2022-01-01,玉里鎮,花蓮縣,0.0
2022-01-01,番路鄉,嘉義縣,0.0
2022-01-01,白河區,臺南市,0.0
2022-01-01,社頭鄉,彰化縣,0.0
2022-01-01,福興鄉,彰化縣,0.0
2022-01-01,秀水鄉,彰化縣,0.0
2022-01-01,竹崎鄉,嘉義縣,0.0
2022-01-01,線西鄉,彰化縣,0.0
2022-01-01,美濃區,高雄市,0.0
2022-01-01,義竹鄉,嘉義縣,0.0
2022-01-01,臺西鄉,雲林縣,0.0
2022-01-01,花蓮市,花蓮縣,0.0
2022-01-01,芳苑鄉,彰化縣,0.0
2022-01-01,草屯鎮,南投縣,0.0
2022-01-01,萬榮鄉,花蓮縣,0.0
2022-01-01,虎尾鎮,雲林縣,0.0
2022-01-01,褒忠鄉,雲林縣,0.0
2022-01-01,豐濱鄉,花蓮縣,0.0
2022-01-01,長治鄉,屏東縣,0.0
2022-01-01,頭份市,苗栗縣,0.0
2022-01-01,鳳林鎮,花蓮縣,0.0
2022-01-01,鹽水區,臺南市,0.0
2022-01-01,鹿港鎮,彰化縣,0.0
2022-01-01,鹿草鄉,嘉義縣,0.0
2022-01-01,麻豆區,臺南市,0.0
2022-01-02,中埔鄉,嘉義縣,0.0
2022-01-02,二崙鄉,雲林縣,0.0
2022-01-02,二林鎮,彰化縣,0.0
2022-01-02,二水鄉,彰化縣,0.0
2022-01-02,五結鄉,宜蘭縣,0.0
2022-01-02,伸港鄉,彰化縣,0.0
2022-01-02,佳冬鄉,屏東縣,0.0
2022-01-02,元長鄉,雲林縣,0.0
2022-01-02,光復鄉,花蓮縣,0.0
2022-01-02,六腳鄉,嘉義縣,0.0
2022-01-02,北港鎮,雲林縣,0.0
2022-01-02,北門區,臺南市,0.0
2022-01-02,卓溪鄉,花蓮縣,0.0
2022-01-02,南州鄉,屏東縣,0.0
2022-01-02,南投市,南投縣,0.0
2022-01-02,口湖鄉,雲林縣,0.0
2022-01-02,員林市,彰化縣,0.0
2022-01-02,四湖鄉,雲林縣,0.0
2022-01-02,土庫鎮,雲林縣,0.0
2022-01-02,埔里鎮,南投縣,0.0
2022-01-02,埔鹽鄉,彰化縣,0.0
2022-01-02,壽豐鄉,花蓮縣,0.0
2022-01-02,大內區,臺南市,0.0
2022-01-02,大城鄉,彰化縣,0.0
2022-01-02,大埤鄉,雲林縣,0.0
2022-01-02,太保市,嘉義縣,0.0
2022-01-02,富里鄉,花蓮縣,0.0
2022-01-02,左鎮區,臺南市,0.0
2022-01-02,布袋鎮,嘉義縣,0.0
2022-01-02,後壁區,臺南市,0.0
2022-01-02,恆春鎮,屏東縣,0.0
2022-01-02,斗南鎮,雲林縣,0.0
2022-01-02,新城鄉,花蓮縣,0.0
2022-01-02,新埔鎮,新竹縣,0.0
2022-01-02,新港鄉,嘉義縣,0.0
2022-01-02,旗山區,高雄市,0.0
2022-01-02,朴子市,嘉義縣,0.0
2022-01-02,東區,新竹市,0.0
2022-01-02,東港鎮,屏東縣,0.0
2022-01-02,東石鄉,嘉義縣,0.0
2022-01-02,枋寮鄉,屏東縣,0.0
2022-01-02,柳營區,臺南市,0.0
2022-01-02,梅山鄉,嘉義縣,0.0
2022-01-02,民雄鄉,嘉義縣,0.0
2022-01-02,水上鄉,嘉義縣,0.0
2022-01-02,水林鄉,雲林縣,0.0
2022-01-02,溪口鄉,嘉義縣,0.0
2022-01-02,溪湖鎮,彰化縣,0.0
2022-01-02,玉里鎮,花蓮縣,0.0
2022-01-02,番路鄉,嘉義縣,0.0
2022-01-02,白河區,臺南市,0.0
2022-01-02,社頭鄉,彰化縣,0.0
2022-01-02,福興鄉,彰化縣,0.0
2022-01-02,秀水鄉,彰化縣,0.0
2022-01-02,竹崎鄉,嘉義縣,0.0
2022-01-02,線西鄉,彰化縣,0.0
2022-01-02,美濃區,高雄市,0.0
2022-01-02,義竹鄉,嘉義縣,0.0
2022-01-02,臺西鄉,雲林縣,0.0
2022-01-02,花蓮市,花蓮縣,0.0
2022-01-02,芳苑鄉,彰化縣,0.0
2022-01-02,草屯鎮,南投縣,0.0
2022-01-02,萬榮鄉,花蓮縣,0.0
2022-01-02,虎尾鎮,雲林縣,0.0
2022-01-02,褒忠鄉,雲林縣,0.0
2022-01-02,豐濱鄉,花蓮縣,0.0
2022-01-02,長治鄉,屏東縣,0.0
2022-01-02,頭份市,苗栗縣,0.0
2022-01-02,鳳林鎮,花蓮縣,0.0
2022-01-02,鹽水區,臺南市,0.0
2022-01-02,鹿港鎮,彰化縣,0.0
2022-01-02,鹿草鄉,嘉義縣,0.0
2022-01-02,麻豆區,臺南市,0.0
2022-01-03,中埔鄉,嘉義縣,0.0
2022-01-03,二崙鄉,雲林縣,0.0
2022-01-03,二林鎮,彰化縣,0.0
2022-01-03,二水鄉,彰化縣,0.0
2022-01-03,五結鄉,宜蘭縣,0.0
2022-01-03,伸港鄉,彰化縣,0.0
2022-01-03,佳冬鄉,屏東縣,0.0
2022-01-03,元長鄉,雲林縣,0.0
2022-01-03,光復鄉,花蓮縣,0.0
2022-01-03,六腳鄉,嘉義縣,0.0
2022-01-03,北港鎮,雲林縣,0.0
2022-01-03,北門區,臺南市,0.0
2022-01-03,卓溪鄉,花蓮縣,0.0
2022-01-03,南州鄉,屏東縣,0.0
2022-01-03,南投市,南投縣,0.0
2022-01-03,口湖鄉,雲林縣,0.0
2022-01-03,員林市,彰化縣,0.0
