sensor_name,location,formatted_address,latitude,longitude,place_id
七堵區堵南街淹水深度(0224517841),七堵區,,,,
七股區龍山國小淹水深度(067871451),七股區,,,,
三峽宰樞廟前淹水高度,三峽區,,,,
中和區中和高中淹水深度(SHGS-3331),中和區,,,,
中正區汀州路三段淹水深度(22529865291),中正區（臺北市，因汀州路位於臺北市中正區）,,,,
中正區汀州路三段淹水深度(0223673420),中正區（同上）,,,,
中正區義一路淹水深度(0224277139),中正區（基隆市，義一路位於基隆市中正區）,,,,
二崙賜福宮淹水高度,二崙鄉,,,,
二林溪庄挖仔排水淹水監控站,二林鎮,,,,
二水芭樂坑淹水監控站,二水鄉,,,,
五結鄉五結路1段淹水深度(RTWT-5092-1),五結鄉,,,,
五結鄉大眾路淹水深度(039508094),五結鄉,,,,
五結鄉錦草路淹水深度(11201936335),五結鄉,,,,
五結鄉錦草路淹水深度(RTWT-5080-1),五結鄉,,,,
五股區成泰路淹水深度(0222953946),五股區,,,,
仁德區大發路淹水深度(062052864),仁德區,,,,
仁德區太乙三街淹水深度(6373655305),仁德區,,,,
仁德區太乙路淹水深度(062058422),仁德區,,,,
仁德區太乙路淹水深度(6373367312-3),仁德區,,,,
仁德區太子路淹水深度(062717250),仁德區,,,,
仁德區忠義二街淹水深度(6373655305-2),仁德區,,,,
仁德區文華一街淹水深度(6949906502),仁德區,,,,
仁武區澄觀路淹水深度(073720045),仁武區,,,,
仁武區澄觀路淹水深度(25097523111),仁武區,,,,
佳冬鄉_塭仔一號排水_淹水深度,佳冬鄉,,,,
佳冬鄉佳豐路淹水深度(6374172536),佳冬鄉,,,,
佳冬鄉海埔村淹水深度(6374172536-3),佳冬鄉,,,,
佳冬鄉炯興路淹水深度(6374172536-2),佳冬鄉,,,,
佳冬鄉羌光路3之31號淹水深度(088661786),佳冬鄉,,,,
佳冬鄉羌園國小淹水深度(6374172536-4),佳冬鄉,,,,
內埔鄉農專街淹水深度(PTLC-1060),內埔鄉,,,,
內溪洲排水淹水深度(22603833839),水上鄉,,,,
八德區東勇街淹水深度(033754131),八德區,,,,
八德區興豐路淹水深度(033689364),八德區,,,,
八掌溪菁寮堤防淹水高度,後壁區,,,,
